time,temp
22:27:05,30.95
22:27:07,29.75
22:27:09,27.15
22:27:11,27.40
22:27:13,26.36
22:27:15,26.30
22:27:17,30.68
22:27:19,31.12
22:27:21,28.98
22:27:23,30.57
22:27:25,30.94
22:27:27,27.97
22:27:29,27.93
22:27:31,31.06
22:27:33,27.56
22:27:35,28.27
22:27:37,27.67
22:27:39,27.38
22:27:41,28.58
22:27:43,31.08
22:27:45,29.37
22:27:47,26.51
22:27:49,29.24
22:27:51,28.68
22:27:53,27.48
22:27:55,30.51
22:27:57,28.61
22:27:59,31.31
22:28:01,27.22
22:28:03,31.91
22:28:05,29.28
22:28:07,28.24
22:28:09,30.40
22:28:11,29.12
22:28:13,27.35
22:28:15,27.32
22:28:17,31.82
22:28:19,26.92
22:28:21,29.52
22:28:23,27.62
22:28:25,30.05
22:28:27,28.86
22:28:29,28.85
22:28:31,27.45
22:28:33,31.10
22:28:35,29.90
22:28:37,29.88
22:28:39,31.88
22:28:41,31.10
22:28:43,29.92
22:28:45,27.59
22:28:47,26.97
22:28:49,28.68
22:28:51,27.91
22:28:53,29.91
22:28:55,28.12
22:28:57,31.11
22:28:59,27.54
22:29:01,27.27
22:29:03,27.75
22:29:05,27.90
22:29:07,27.56
22:29:09,30.83
22:29:11,29.41
22:29:13,28.45
22:29:15,26.84
22:29:17,31.09
22:29:19,29.06
22:29:21,26.00
22:29:23,30.83
22:29:25,31.61
22:29:27,30.38
22:29:29,28.02
22:29:31,26.78
22:29:33,31.13
22:29:35,31.34
22:29:37,29.96
22:29:39,28.07
22:29:41,31.74
22:29:43,30.38
22:29:45,30.60
22:29:47,28.81
22:29:49,26.95
22:29:51,29.59
22:29:53,26.77
