time,temp
22:27:05,25.60
22:27:07,28.81
22:27:09,34.97
22:27:11,34.68
22:27:13,32.22
22:27:15,31.16
22:27:17,31.74
22:27:19,27.04
22:27:21,34.80
22:27:23,29.46
22:27:25,33.64
22:27:27,29.60
22:27:29,26.29
22:27:31,28.02
22:27:33,25.81
22:27:35,25.73
22:27:37,27.18
22:27:39,26.73
22:27:41,34.99
22:27:43,31.08
22:27:45,25.62
22:27:47,26.48
22:27:49,34.18
22:27:51,26.32
22:27:53,31.29
22:27:55,31.55
22:27:57,29.73
22:27:59,34.62
22:28:01,32.17
22:28:03,29.57
22:28:05,29.87
22:28:07,34.01
22:28:09,31.39
22:28:11,27.69
22:28:13,31.13
22:28:15,25.61
22:28:17,34.75
22:28:19,29.13
22:28:21,32.53
22:28:23,28.84
22:28:25,25.82
22:28:27,26.69
22:28:29,27.04
22:28:31,28.98
22:28:33,26.09
22:28:35,33.75
22:28:37,29.46
22:28:39,33.78
22:28:41,25.18
22:28:43,34.19
22:28:45,29.17
22:28:47,29.94
22:28:49,26.88
22:28:51,28.03
22:28:53,31.53
22:28:55,25.15
22:28:57,32.88
22:28:59,25.87
22:29:01,25.31
22:29:03,34.81
22:29:05,26.66
22:29:07,31.55
22:29:09,27.97
22:29:11,29.13
22:29:13,26.32
22:29:15,30.90
22:29:17,25.78
22:29:19,34.42
22:29:21,27.87
22:29:23,34.81
22:29:25,26.44
22:29:27,30.61
22:29:29,29.63
22:29:31,25.05
22:29:33,30.20
22:29:35,33.01
22:29:37,31.08
22:29:39,25.12
22:29:41,31.19
22:29:43,34.23
22:29:45,31.83
22:29:47,25.70
22:29:49,31.68
22:29:51,26.26
22:29:53,34.58
