time,temp
22:27:05,27.52
22:27:07,23.18
22:27:09,25.70
22:27:11,25.02
22:27:13,23.84
22:27:15,23.63
22:27:17,25.24
22:27:19,26.25
22:27:21,24.26
22:27:23,25.51
22:27:25,23.31
22:27:27,23.83
22:27:29,26.61
22:27:31,27.02
22:27:33,25.23
22:27:35,23.88
22:27:37,26.68
22:27:39,26.11
22:27:41,27.84
22:27:43,22.23
22:27:45,23.81
22:27:47,26.22
22:27:49,25.44
22:27:51,27.63
22:27:53,25.99
22:27:55,23.97
22:27:57,24.02
22:27:59,26.88
22:28:01,22.52
22:28:03,26.03
22:28:05,24.07
22:28:07,24.11
22:28:09,23.28
22:28:11,26.43
22:28:13,23.63
22:28:15,24.08
22:28:17,24.31
22:28:19,24.92
22:28:21,24.17
22:28:23,25.09
22:28:25,27.84
22:28:27,23.33
22:28:29,23.57
22:28:31,23.85
22:28:33,25.68
22:28:35,25.89
22:28:37,22.33
22:28:39,26.79
22:28:41,22.46
22:28:43,22.76
22:28:45,25.51
22:28:47,26.49
22:28:49,27.91
22:28:51,23.38
22:28:53,23.48
22:28:55,22.61
22:28:57,23.08
22:28:59,22.94
22:29:01,27.02
22:29:03,25.76
22:29:05,22.46
22:29:07,23.52
22:29:09,23.88
22:29:11,24.08
22:29:13,25.04
22:29:15,25.75
22:29:17,25.06
22:29:19,23.14
22:29:21,22.83
22:29:23,24.00
22:29:25,22.97
22:29:27,27.21
22:29:29,22.97
22:29:31,25.19
22:29:33,27.33
22:29:35,25.71
22:29:37,27.41
22:29:39,27.63
22:29:41,25.04
22:29:43,27.87
22:29:45,24.46
22:29:47,26.52
22:29:49,27.08
22:29:51,26.12
22:29:53,24.84
