time,temp
19:44:44,28.20
19:44:44,28.20
19:44:44,28.10
19:44:57,28.00
19:44:57,27.80
19:45:11,27.70
19:45:11,27.70
19:45:24,27.80
19:45:24,27.90
19:45:38,28.00
19:45:38,27.90
19:45:38,27.80
19:45:38,27.70
19:45:53,27.90
19:45:53,27.90
19:45:53,28.00
19:45:53,28.00
19:46:06,28.00
19:46:06,28.10
19:46:21,28.00
19:46:21,27.80
19:46:35,27.70
19:46:35,27.60
19:46:49,27.60
19:46:49,27.70
19:46:49,27.80
19:47:02,27.80
19:47:02,27.80
19:47:02,27.80
19:47:17,27.70
19:47:17,27.80
19:47:31,27.80
19:47:31,27.80
19:47:45,27.70
19:47:45,27.80
19:47:45,27.70
19:47:59,27.60
19:47:59,27.50
19:48:13,27.30
19:48:13,27.30
19:48:13,27.30
19:48:27,27.40
19:48:27,27.30
19:48:27,27.30
19:48:27,27.10
19:48:41,27.30
19:48:41,27.20
19:48:41,27.10
19:48:55,27.10
19:48:55,27.10
19:48:55,27.10
19:48:55,27.00
19:49:10,26.90
19:49:10,26.80
19:49:10,26.80
19:49:24,26.90
19:49:24,26.70
19:49:39,26.80
19:49:39,26.90
19:49:54,26.70
19:49:54,26.60
19:49:54,26.50
19:50:07,26.40
19:50:07,26.60
19:50:21,26.50
19:50:21,26.40
19:50:21,26.40
19:50:21,26.20
19:50:35,26.10
19:50:35,26.20
19:50:50,26.10
19:50:50,26.00
19:50:50,25.80
19:50:50,25.60
19:51:04,25.60
19:51:04,25.80
19:51:04,25.70
19:51:19,25.70
19:51:19,25.50
19:51:19,25.60
19:51:19,25.70
19:51:33,25.70
19:51:33,25.60
19:51:33,25.80
19:51:48,25.80
19:51:48,25.70
19:51:48,25.80
19:52:02,25.80
19:52:02,26.00
19:52:17,26.00
19:52:17,25.80
19:52:31,25.90
19:52:31,25.90
19:52:44,25.90
19:52:44,25.90
19:52:59,25.80
19:52:59,25.60
19:52:59,25.40
19:53:13,25.60
19:53:13,25.40
19:53:27,25.50
19:53:27,25.60
19:53:27,25.70
19:53:27,25.60
19:53:41,25.60
19:53:41,25.60
19:53:41,25.50
19:53:41,25.30
19:53:56,25.30
19:53:56,25.40
19:53:56,25.40
19:54:10,25.40
19:54:24,25.50
19:54:24,25.60
19:54:37,25.50
19:54:37,25.70
19:54:37,25.60
19:54:51,25.70
19:54:51,25.60
19:54:51,25.50
19:55:05,25.50
19:55:05,25.50
19:55:05,25.40
19:55:20,25.20
19:55:20,25.30
19:55:20,25.40
19:55:34,25.50
19:55:34,25.40
19:55:34,25.50
19:55:47,25.60
19:55:47,25.40
19:55:47,25.50
19:56:00,25.70
19:56:00,25.60
19:56:00,25.60
19:56:15,25.60
19:56:30,25.60
19:56:30,25.50
19:56:30,25.40
19:56:30,25.30
19:56:43,25.20
19:56:43,25.30
19:56:43,25.20
19:56:58,25.30
19:56:58,25.40
19:56:58,25.40
19:57:11,25.50
19:57:11,25.40
19:57:11,25.20
19:57:24,25.20
19:57:24,25.30
19:57:24,25.10
19:57:24,25.20
19:57:38,25.30
19:57:38,25.30
20:03:28,28.10
20:03:28,28.20
20:03:42,28.10
20:03:42,28.10
20:03:42,28.10
20:03:57,27.90
20:04:11,28.00
20:04:11,27.90
20:04:11,27.80
20:04:25,28.00
20:04:25,28.00
20:04:25,27.90
20:04:39,27.80
20:04:39,27.90
20:04:39,28.10
20:04:53,27.90
20:04:53,27.80
20:04:53,27.90
20:04:53,28.00
20:05:08,28.00
20:05:08,28.10
20:05:08,27.90
20:05:08,27.80
20:05:23,27.80
20:05:23,27.90
20:05:38,28.10
20:05:38,28.30
20:05:38,28.40
20:05:53,28.40
20:05:53,28.40
20:05:53,28.40
20:06:07,28.60
20:06:07,28.80
20:06:07,28.70
20:06:07,28.60
20:06:20,28.40
20:06:20,28.60
20:06:33,28.80
20:06:33,28.70
20:06:33,28.70
20:06:47,28.70
20:06:47,28.80
20:07:01,28.60
20:07:01,28.50
20:07:01,28.30
20:07:15,28.40
20:07:15,28.20
20:07:15,28.30
20:07:29,28.40
20:07:29,28.60
20:07:43,28.70
20:07:43,28.80
20:07:57,28.80
20:08:11,29.00
20:08:11,28.90
20:08:11,28.80
20:08:25,28.90
20:08:25,29.00
20:08:39,28.80
20:08:39,28.80
20:08:39,28.90
20:08:52,28.90
20:08:52,29.00
20:08:52,29.10
20:09:06,29.10
20:09:06,28.90
20:09:21,28.90
20:09:21,28.80
20:09:21,28.90
20:09:34,28.80
20:09:34,28.80
20:09:49,28.60
20:09:49,28.60
20:09:49,28.60
20:10:04,28.50
20:10:18,28.50
20:10:32,28.50
20:10:32,28.30
20:10:32,28.20
20:10:47,28.20
20:10:47,28.30
20:10:47,28.20
20:10:47,28.30
20:11:00,28.30
20:11:00,28.20
20:11:00,28.00
20:11:00,27.90
20:11:13,28.10
20:11:13,28.20
20:11:13,28.10
20:11:27,28.20
20:11:27,28.30
20:11:27,28.20
20:11:41,28.20
20:11:41,28.20
20:11:56,28.30
20:11:56,28.20
20:11:56,28.10
20:12:10,28.10
20:12:24,28.20
20:12:24,28.40
20:12:24,28.30
20:12:38,28.30
20:12:38,28.30
20:12:38,28.20
20:12:53,28.10
20:12:53,28.10
20:13:07,28.30
20:13:07,28.30
20:13:07,28.30
20:13:22,28.40
20:13:22,28.30
20:13:22,28.20
20:13:22,28.20
20:13:35,28.10
20:13:35,28.10
20:13:35,28.30
20:13:49,28.50
20:13:49,28.40
20:14:05,28.60
20:14:05,28.50
20:14:05,28.50
20:14:05,28.50
20:14:19,28.40
20:14:19,28.40
20:14:32,28.60
20:14:32,28.50
20:14:32,28.40
20:14:32,28.60
20:26:38,28.80
20:26:38,28.60
20:26:53,28.50
20:27:07,28.40
20:27:07,28.40
20:27:07,28.50
20:27:20,28.60
20:27:20,28.70
20:27:20,28.50
20:32:08,27.90
20:32:10,27.80
20:32:15,27.80
20:32:24,27.60
20:32:27,27.40
20:32:29,27.40
20:32:36,27.40
20:32:39,27.50
20:32:41,27.50
20:32:44,27.40
20:32:51,27.20
20:32:56,27.10
20:32:58,26.90
20:33:09,26.90
20:33:12,26.80
20:33:23,26.70
20:33:26,26.80
20:33:34,26.90
20:33:37,27.10
20:33:39,27.20
20:33:46,27.10
20:33:51,27.30
20:33:53,27.30
20:34:04,27.10
20:34:07,27.00
20:34:13,26.90
20:34:15,26.80
20:34:18,26.80
20:34:20,26.60
20:34:29,26.60
20:34:34,26.40
20:34:44,26.40
20:34:49,26.60
20:35:01,26.60
20:35:03,26.70
20:35:18,26.50
20:35:25,26.50
20:35:28,26.70
20:35:30,26.50
20:35:33,26.30
20:35:40,26.30
20:35:42,26.40
20:35:45,26.20
20:35:47,26.30
20:35:59,26.20
20:36:01,26.20
20:36:09,26.00
20:36:14,26.10
20:36:16,26.00
20:36:24,25.90
20:36:30,26.10
20:36:37,25.90
20:36:39,25.90
20:36:44,25.80
20:36:51,25.90
20:36:53,25.90
20:36:59,25.70
20:37:11,25.70
20:37:14,25.80
20:37:21,25.90
20:37:24,26.10
20:37:26,26.00
